identifier,rank,edition
COMBEYS-bc640d-056c,942,1377
COMBEYS-bc640d-04da,941,1229
COMBEYS-bc640d-c9,940,172
COMBEYS-bc640d-0264,939,591
COMBEYS-bc640d-02f8,938,741
COMBEYS-bc640d-0368,937,855
COMBEYS-bc640d-0578,936,1389
COMBEYS-bc640d-02f4,935,737
COMBEYS-bc640d-05e5,934,1499
COMBEYS-bc640d-0573,933,1384
COMBEYS-bc640d-0237,932,546
COMBEYS-bc640d-049f,931,1169
COMBEYS-bc640d-048d,930,1151
COMBEYS-bc640d-037d,929,876
COMBEYS-bc640d-042c,928,1053
COMBEYS-bc640d-03a8,927,919
COMBEYS-bc640d-01bf,926,422
COMBEYS-bc640d-0273,925,608
COMBEYS-bc640d-024e,924,569
COMBEYS-bc640d-0560,923,1364
COMBEYS-bc640d-02b1,922,670
COMBEYS-bc640d-0377,921,870
COMBEYS-bc640d-01bc,920,419
COMBEYS-bc640d-05c4,919,1465
COMBEYS-bc640d-04f6,918,1258
COMBEYS-bc640d-0438,917,1066
COMBEYS-bc640d-03d2,916,962
COMBEYS-bc640d-01d3,915,443
COMBEYS-bc640d-6e,914,90
COMBEYS-bc640d-0520,913,1300
COMBEYS-bc640d-0243,912,558
COMBEYS-bc640d-0510,911,1284
COMBEYS-bc640d-0421,910,1042
COMBEYS-bc640d-04bd,909,1199
COMBEYS-bc640d-02bc,908,681
COMBEYS-bc640d-03be,907,942
COMBEYS-bc640d-9b,906,126
COMBEYS-bc640d-047d,905,1135
COMBEYS-bc640d-032d,904,795
COMBEYS-bc640d-0522,903,1302
COMBEYS-bc640d-04ff,902,1267
COMBEYS-bc640d-0255,901,576
COMBEYS-bc640d-fd,900,225
COMBEYS-bc640d-02dd,899,714
COMBEYS-bc640d-02a8,898,661
COMBEYS-bc640d-01a1,897,391
COMBEYS-bc640d-07,896,506
COMBEYS-bc640d-02d5,895,706
COMBEYS-bc640d-0140,894,292
COMBEYS-bc640d-0404,893,1013
COMBEYS-bc640d-04b9,892,1195
COMBEYS-bc640d-0432,891,1060
COMBEYS-bc640d-0271,890,606
COMBEYS-bc640d-0495,889,1159
COMBEYS-bc640d-0474,888,1126
COMBEYS-bc640d-03,887,349
COMBEYS-bc640d-0536,886,1322
COMBEYS-bc640d-0471,885,1123
COMBEYS-bc640d-0452,884,1092
COMBEYS-bc640d-0183,883,360
COMBEYS-bc640d-9a,882,125
COMBEYS-bc640d-01e6,881,462
COMBEYS-bc640d-0229,880,531
COMBEYS-bc640d-0454,879,1094
COMBEYS-bc640d-04b3,878,1189
